
[2023-08-05 10:35:49,705] Register - Step 01: Click to Register Link
[2023-08-05 10:35:50,932] Register - Step 02:Enter to FirstName textbox with value is 'Automation'
[2023-08-05 10:35:51,031] Register - Step 03:Enter to LastName textbox with value is 'FC'
[2023-08-05 10:35:51,104] Register - Step 04:Enter to emailAddress textbox with value is 'afc577@gmail.vn'
[2023-08-05 10:35:51,169] Register - Step 05:Enter to password textbox with value is '123456'
[2023-08-05 10:35:51,227] Register - Step 06:Enter to Confirm password textbox with value is '123456'
[2023-08-05 10:35:51,288] Register - Step 07: Click to Register Button
[2023-08-05 10:35:52,290] Register - Step 08: Verify Register Success Message
[2023-08-05 10:35:52,413] Login - Step 01: Click to Login Link
[2023-08-05 10:35:52,996] Login - Step 02:Enter to emailAddress textbox with value is 'afc577@gmail.vn'
[2023-08-05 10:35:53,076] Login - Step 03:Enter to password textbox with value is '123456'
[2023-08-05 10:35:53,148] Login - Step 04: Click Login Button
[2023-08-05 10:35:53,951] Login - Step 05: Verify True My Account isDisplayed
[2023-08-05 10:38:10,023] Register - Step 01: Click to Register Link
[2023-08-05 10:38:11,293] Register - Step 02:Enter to FirstName textbox with value is 'Automation'
[2023-08-05 10:38:11,500] Register - Step 03:Enter to LastName textbox with value is 'FC'
[2023-08-05 10:38:11,606] Register - Step 04:Enter to emailAddress textbox with value is 'afc2852@gmail.vn'
[2023-08-05 10:38:11,677] Register - Step 05:Enter to password textbox with value is '123456'
[2023-08-05 10:38:11,747] Register - Step 06:Enter to Confirm password textbox with value is '123456'
[2023-08-05 10:38:11,809] Register - Step 07: Click to Register Button
[2023-08-05 10:38:12,694] Register - Step 08: Verify Register Success Message
[2023-08-05 10:38:12,781] Login - Step 01: Click to Login Link
[2023-08-05 10:38:13,352] Login - Step 02:Enter to emailAddress textbox with value is 'afc2852@gmail.vn'
[2023-08-05 10:38:13,479] Login - Step 03:Enter to password textbox with value is '123456'
[2023-08-05 10:38:13,572] Login - Step 04: Click Login Button
[2023-08-05 10:38:14,395] Login - Step 05: Verify True My Account isDisplayed
[2023-08-07 15:14:53,176] Register - Step 01: Click to Register Link
[2023-08-07 15:14:55,004] Register - Step 02: Click to Radio Button Male
[2023-08-07 15:14:55,309] Register - Step 03:Enter to FirstName textbox with value is 'auro'
[2023-08-07 15:14:55,424] Register - Step 04:Enter to LastName textbox with value is 'FC'
[2023-08-07 15:14:55,518] Regiater - Step 05: Select Dropdow Day
[2023-08-07 15:14:55,830] Regiater - Step 06: Select Dropdow Month
[2023-08-07 15:14:56,178] Regiater - Step 07: Select Dropdow Year
[2023-08-07 15:14:56,473] Register - Step 08:Enter to emailAddress textbox with value is 'automatonfc9645@fakemail.vn'
[2023-08-07 15:14:56,631] Register - Step 09: Click to Checkbox button
[2023-08-07 15:14:56,678] Register - Step 10:Enter to password textbox with value is '123456'
[2023-08-07 15:14:56,788] Register - Step 11:Enter to Confirm password textbox with value is '123456'
[2023-08-07 15:14:56,875] Register - Step 12: Click to Register Button
[2023-08-07 15:14:57,867] Register - Step 13: Verify Register Success Message
[2023-08-07 15:14:57,965] Login - Step 01: Click to Login Link
[2023-08-07 15:14:58,510] Login - Step 02:Enter to emailAddress textbox with value is 'automatonfc9645@fakemail.vn'
[2023-08-07 15:14:58,623] Login - Step 03:Enter to password textbox with value is '123456'
[2023-08-07 15:14:58,747] Login - Step 04: Click Login Button
[2023-08-07 15:14:59,543] Login - Step 05: Verify True My Account isDisplayed
[2023-08-07 15:15:00,060] My Account - Step 01: Navigate to My Account page
[2023-08-07 15:15:01,564] My Account - Step 02: Verify True Customer Info isDisplayed
[2023-08-07 15:15:01,891] My Account - Step 03: Verify First Name value
[2023-08-07 15:15:02,077] My Account - Step 03: Verify Last Name value
[2023-08-07 15:15:02,254] My Account - Step 03: Verify Email value
[2023-08-07 15:15:02,440] OS name = windows 10
[2023-08-07 15:15:02,441] Driver instance name = firefoxdriver: firefox on windows (b77cb948-6430-4e2c-88c0-af8b0ef53fd4)
[2023-08-07 15:17:21,728] Register - Step 01: Click to Register Link
[2023-08-07 15:17:22,519] Register - Step 02: Click to Radio Button Male
[2023-08-07 15:17:22,892] Register - Step 03:Enter to FirstName textbox with value is 'auro'
[2023-08-07 15:17:23,032] Register - Step 04:Enter to LastName textbox with value is 'FC'
[2023-08-07 15:17:23,139] Regiater - Step 05: Select Dropdow Day
[2023-08-07 15:17:23,528] Regiater - Step 06: Select Dropdow Month
[2023-08-07 15:17:23,913] Regiater - Step 07: Select Dropdow Year
[2023-08-07 15:17:24,336] Register - Step 08:Enter to emailAddress textbox with value is 'automatonfc9855@fakemail.vn'
[2023-08-07 15:17:24,521] Register - Step 09: Click to Checkbox button
[2023-08-07 15:17:24,596] Register - Step 10:Enter to password textbox with value is '123456'
[2023-08-07 15:17:24,733] Register - Step 11:Enter to Confirm password textbox with value is '123456'
[2023-08-07 15:17:24,893] Register - Step 12: Click to Register Button
[2023-08-07 15:17:25,990] Register - Step 13: Verify Register Success Message
[2023-08-07 15:17:26,159] Login - Step 01: Click to Login Link
[2023-08-07 15:17:26,705] Login - Step 02:Enter to emailAddress textbox with value is 'automatonfc9855@fakemail.vn'
[2023-08-07 15:17:26,879] Login - Step 03:Enter to password textbox with value is '123456'
[2023-08-07 15:17:27,004] Login - Step 04: Click Login Button
[2023-08-07 15:17:27,953] Login - Step 05: Verify True My Account isDisplayed
[2023-08-07 15:17:28,166] My Account - Step 01: Navigate to My Account page
[2023-08-07 15:17:28,810] My Account - Step 02: Verify True Customer Info isDisplayed
[2023-08-07 15:17:29,000] My Account - Step 03: Verify First Name value
[2023-08-07 15:17:29,122] My Account - Step 03: Verify Last Name value
[2023-08-07 15:17:29,263] My Account - Step 03: Verify Email value
[2023-08-07 15:17:29,420] OS name = windows 10
[2023-08-07 15:17:29,420] Driver instance name = firefoxdriver: firefox on windows (f3728115-e5bd-47fc-8445-a74eb8ec1764)
[2023-08-08 10:27:49,410] Register - Step 01: Click to Register Link
[2023-08-08 10:27:52,505] Register - Step 02: Click to Radio Button Male
[2023-08-08 10:27:52,802] Register - Step 03:Enter to FirstName textbox with value is 'auro'
[2023-08-08 10:27:52,917] Register - Step 04:Enter to LastName textbox with value is 'FC'
[2023-08-08 10:27:53,017] Regiater - Step 05: Select Dropdow Day
[2023-08-08 10:27:53,359] Regiater - Step 06: Select Dropdow Month
[2023-08-08 10:27:53,712] Regiater - Step 07: Select Dropdow Year
[2023-08-08 10:27:54,029] Register - Step 08:Enter to emailAddress textbox with value is 'automatonfc3617@fakemail.vn'
[2023-08-08 10:27:54,165] Register - Step 09: Click to Checkbox button
